15, 3335067, 24267, 81377831, 84768633
15, 3702794, 70626, 82067191, 85872223
15, 3522845, 25270, 84457103, 88039951
15, 4023872, 28667, 82520114, 86605394
15, 3938765, 80774, 81843656, 85894854
15, 2754210, 25372, 80826750, 83642280
15, 3453087, 25676, 81861199, 85371747
15, 4668735, 29705, 81736273, 86467690
15, 3567615, 24932, 83435351, 87059729
15, 2846411, 49894, 81894373, 84826193
15, 3063280, 41620, 82256675, 85392502
15, 4310043, 22235, 81442374, 85805386
15, 3428790, 25586, 80937566, 84426508
15, 3697571, 26163, 81275191, 85029668
15, 3098074, 67130, 84163085, 87363383
15, 4367673, 29757, 82635194, 87066718
15, 3673473, 25026, 86490705, 90224741
20, 3082651, 48815, 122888273, 126055324
20, 2893272, 26401, 122909790, 125867078
20, 3544616, 49266, 125968188, 129600422
20, 3831081, 27610, 124933933, 128830292
20, 3922201, 27128, 122816341, 126804318
20, 3773218, 22565, 122024904, 125854588
20, 2988212, 48936, 123976872, 127053801
20, 3809402, 22798, 124978653, 128847232
20, 3662894, 33985, 122616589, 126347463
20, 2661808, 19398, 121759902, 124478168
20, 3449562, 27158, 123550285, 127060721
20, 5017323, 54690, 126395017, 131501709
20, 4469161, 25967, 124275500, 128806966
20, 3008943, 26314, 123200672, 126273008
20, 3877130, 49424, 123235232, 127200114
20, 4242418, 24488, 124915886, 129217038
20, 4294968, 22626, 123840173, 128195626
20, 3581705, 23520, 123086620, 126724272
20, 3349296, 22062, 121467749, 124875367
20, 4301504, 57161, 133064247, 137458329
20, 3555902, 25441, 126062682, 129676601
20, 3895746, 23335, 126393478, 130350933
20, 3780164, 25798, 119988076, 123828522
20, 3494002, 24146, 120761594, 124316469
20, 4599527, 24950, 122007028, 126667124
20, 3033471, 24730, 123696983, 126789315
20, 3775695, 25116, 121176129, 125010998
20, 5025893, 28772, 128523951, 133617083
20, 3685597, 29625, 119733574, 123484028
20, 3493305, 24555, 123967577, 127523782
20, 4779198, 28306, 123688233, 128533080
20, 3838463, 24072, 124834184, 128733415
20, 4723632, 27568, 121394808, 126182185
20, 3585410, 26982, 124358330, 128006680
20, 3654707, 40983, 121756537, 125486119
20, 3161504, 53087, 121881088, 125134027
20, 3736447, 25731, 119961151, 123755833
20, 3279394, 23521, 120539448, 123879883
20, 3993663, 49501, 124824444, 128898044
20, 3548525, 53717, 127111018, 130748581
20, 3609565, 24021, 127848964, 131518056
20, 4246171, 46943, 121933789, 126264042
20, 3757720, 51837, 123098704, 126944145
20, 4120144, 26384, 123544819, 127725845
20, 3321661, 27793, 120245061, 123628781
20, 3113073, 27025, 120299992, 123472368
20, 3693533, 21518, 120554479, 124305322
20, 3849505, 26233, 124601583, 128513880
20, 4407871, 63190, 121348341, 125854672
20, 3125980, 27315, 120284216, 123470168
25, 4011167, 30966, 173222948, 177300706
25, 3335173, 65706, 176142848, 179580634
25, 3460640, 21768, 171613024, 175136547
25, 4577346, 24197, 171607724, 176247698
25, 4137167, 24028, 174982402, 179180578
25, 3288326, 44052, 171942945, 175312689
25, 2702974, 22555, 170402883, 173169104
25, 3735713, 51167, 179365288, 183193688
25, 3653391, 51457, 174008303, 177748604
25, 2857194, 30894, 170184796, 173110032
25, 2961772, 24737, 171090803, 174113778
25, 3662431, 20924, 170610423, 174330877
25, 4007908, 30488, 172524681, 176600446
25, 3087888, 23322, 173920815, 177069010
25, 4067817, 67014, 170428705, 174602862
25, 3160145, 22602, 172983065, 176204203
25, 3920392, 52314, 178867705, 182879000
25, 3707707, 41226, 171585888, 175372914
25, 3408167, 48001, 172308102, 175801934
25, 3537831, 54683, 175939531, 179568933
25, 3674766, 23280, 173518572, 177258526
25, 3615352, 22984, 170815834, 174490470
25, 3627192, 25368, 177164448, 180853926
25, 3386171, 53414, 174977398, 178455813
25, 3487514, 51878, 171060762, 174639771
25, 3537234, 20653, 173950980, 177545528
25, 4374585, 24018, 173445746, 177882751
25, 3361824, 80034, 172793812, 176270700
