3000, t1018, 20, 7, 12, 2393, 3000, 17
3000, t457, 19, 7, 11, 399, 3000, 16
3000, t630, 18, 7, 11, 896, 3000, 15
3000, t1485, 21, 7, 13, 2851, 3000, 16
3000, t1417, 19, 7, 12, 1207, 3000, 16
3000, t178, 16, 7, 9, 601, 3000, 16
3000, t1391, 20, 7, 12, 2088, 3000, 16
3000, t1174, 19, 7, 12, 2008, 3000, 16
3000, t1645, 21, 7, 13, 1919, 3000, 17
3000, t499, 18, 7, 11, 62, 3000, 16
3000, t259, 17, 7, 10, 874, 3000, 15
3000, t1997, 21, 7, 13, 1545, 3000, 17
3000, t709, 19, 7, 11, 573, 3000, 17
3000, t1851, 20, 7, 13, 1974, 3000, 16
3000, t667, 19, 7, 11, 324, 3000, 17
3000, t944, 20, 7, 12, 1951, 3000, 17
3000, t638, 19, 7, 11, 2071, 3000, 17
3000, t1602, 21, 7, 13, 1668, 3000, 17
3000, t1688, 20, 7, 13, 1589, 3000, 16
3000, t596, 19, 7, 11, 2979, 3000, 16
3000, t463, 19, 7, 11, 302, 3000, 16
3000, t1633, 20, 7, 13, 1814, 3000, 15
3000, t217, 18, 7, 10, 1126, 3000, 16
3000, t413, 19, 7, 11, 684, 3000, 16
3000, t616, 19, 7, 11, 873, 3000, 16
3000, t865, 19, 7, 12, 2442, 3000, 16
3000, t386, 18, 7, 11, 1318, 3000, 15
3000, t1776, 21, 7, 13, 1674, 3000, 16
3000, t1956, 20, 7, 13, 1120, 3000, 16
3000, t165, 16, 7, 9, 549, 3000, 15
3000, t363, 17, 7, 10, 998, 3000, 15
3000, t463, 19, 7, 11, 2433, 3000, 17
3000, t379, 18, 7, 11, 1283, 3000, 15
3000, t788, 19, 7, 12, 2210, 3000, 16
3000, t1185, 19, 7, 12, 2134, 3000, 15
3000, t1868, 21, 7, 13, 2101, 3000, 17
3000, t1977, 20, 7, 13, 2818, 3000, 16
3000, t1647, 21, 7, 13, 2854, 3000, 16
3000, t1091, 19, 7, 12, 1025, 3000, 15
3000, t444, 18, 7, 11, 1736, 3000, 15
3000, t1132, 19, 7, 12, 1611, 3000, 15
3000, t160, 16, 7, 9, 2558, 3000, 16
3000, t214, 17, 7, 10, 2648, 3000, 16
3000, t1513, 20, 7, 13, 2688, 3000, 15
3000, t1105, 19, 7, 12, 1478, 3000, 16
3000, t956, 19, 7, 12, 35, 3000, 15
3000, t395, 18, 7, 11, 2480, 3000, 16
3000, t1982, 21, 7, 13, 2366, 3000, 17
3000, t1186, 20, 7, 12, 2726, 3000, 17
3000, t63, 15, 7, 8, 1226, 3000, 15
